danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.539,0.551,8,-7.351,1,0.0361,0.651,0.0,0.124,0.556,75.899,audio_features,4BOYIpYF7zTYtAkpjoD687,spotify:track:4BOYIpYF7zTYtAkpjoD687,https://api.spotify.com/v1/tracks/4BOYIpYF7zTYtAkpjoD687,https://api.spotify.com/v1/audio-analysis/4BOYIpYF7zTYtAkpjoD687,286380,4
0.488,0.57,9,-5.602,1,0.0775,0.251,0.0,0.107,0.668,169.702,audio_features,17opN752ZQpNuoptelsNQ1,spotify:track:17opN752ZQpNuoptelsNQ1,https://api.spotify.com/v1/tracks/17opN752ZQpNuoptelsNQ1,https://api.spotify.com/v1/audio-analysis/17opN752ZQpNuoptelsNQ1,312893,4
0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,audio_features,2q4rjDy9WhaN3o9MvDbO21,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,193387,4
0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933,4
0.941,0.471,1,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,audio_features,0kswxxNV4DLBqJeMIqFh5n,spotify:track:0kswxxNV4DLBqJeMIqFh5n,https://api.spotify.com/v1/tracks/0kswxxNV4DLBqJeMIqFh5n,https://api.spotify.com/v1/audio-analysis/0kswxxNV4DLBqJeMIqFh5n,111550,4
0.841,0.653,8,-6.978,1,0.375,0.212,0.0,0.0821,0.603,77.039,audio_features,79fkjl9VtiLUl36ye9tMDP,spotify:track:79fkjl9VtiLUl36ye9tMDP,https://api.spotify.com/v1/tracks/79fkjl9VtiLUl36ye9tMDP,https://api.spotify.com/v1/audio-analysis/79fkjl9VtiLUl36ye9tMDP,152790,4
0.932,0.444,4,-10.022,0,0.302,0.483,0.0,0.354,0.428,101.011,audio_features,1iAWDVZem3Vx3Pb8fTUTEL,spotify:track:1iAWDVZem3Vx3Pb8fTUTEL,https://api.spotify.com/v1/tracks/1iAWDVZem3Vx3Pb8fTUTEL,https://api.spotify.com/v1/audio-analysis/1iAWDVZem3Vx3Pb8fTUTEL,152137,4
0.837,0.42,8,-5.158,1,0.0629,0.177,0.0,0.356,0.143,123.157,audio_features,2zOWuWdyuMqOoboNRKlJO0,spotify:track:2zOWuWdyuMqOoboNRKlJO0,https://api.spotify.com/v1/tracks/2zOWuWdyuMqOoboNRKlJO0,https://api.spotify.com/v1/audio-analysis/2zOWuWdyuMqOoboNRKlJO0,236093,4
0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154,audio_features,6ATrsVaZT7XjkCynxM8cTS,spotify:track:6ATrsVaZT7XjkCynxM8cTS,https://api.spotify.com/v1/tracks/6ATrsVaZT7XjkCynxM8cTS,https://api.spotify.com/v1/audio-analysis/6ATrsVaZT7XjkCynxM8cTS,206333,4
0.941,0.529,8,-11.57,1,0.465,0.023,7.75e-05,0.0949,0.503,119.977,audio_features,0S7eavOH2yPKEotR7SYpob,spotify:track:0S7eavOH2yPKEotR7SYpob,https://api.spotify.com/v1/tracks/0S7eavOH2yPKEotR7SYpob,https://api.spotify.com/v1/audio-analysis/0S7eavOH2yPKEotR7SYpob,191973,4
0.671,0.531,8,-5.551,1,0.0467,0.0307,0.0,0.365,0.28,140.013,audio_features,5WeiB5JDBy6T5QQxtj09zb,spotify:track:5WeiB5JDBy6T5QQxtj09zb,https://api.spotify.com/v1/tracks/5WeiB5JDBy6T5QQxtj09zb,https://api.spotify.com/v1/audio-analysis/5WeiB5JDBy6T5QQxtj09zb,247013,4
0.926,0.863,0,-3.391,0,0.269,0.0197,0.0,0.0484,0.779,92.522,audio_features,7n2Dqgp4iXd8Zorfj9XSYo,spotify:track:7n2Dqgp4iXd8Zorfj9XSYo,https://api.spotify.com/v1/tracks/7n2Dqgp4iXd8Zorfj9XSYo,https://api.spotify.com/v1/audio-analysis/7n2Dqgp4iXd8Zorfj9XSYo,192907,4
0.855,0.95,9,-2.966,1,0.281,0.00553,0.0,0.181,0.738,145.019,audio_features,44YXOTiSqTP65hMIhra2ys,spotify:track:44YXOTiSqTP65hMIhra2ys,https://api.spotify.com/v1/tracks/44YXOTiSqTP65hMIhra2ys,https://api.spotify.com/v1/audio-analysis/44YXOTiSqTP65hMIhra2ys,200667,4
0.696,0.848,9,-3.45,0,0.258,0.413,0.0,0.256,0.977,150.025,audio_features,5tPab9ITAFIgaKc4JLuqkB,spotify:track:5tPab9ITAFIgaKc4JLuqkB,https://api.spotify.com/v1/tracks/5tPab9ITAFIgaKc4JLuqkB,https://api.spotify.com/v1/audio-analysis/5tPab9ITAFIgaKc4JLuqkB,213653,4
0.91,0.617,0,-5.706,1,0.242,0.0558,0.0,0.181,0.533,140.029,audio_features,6MqFViHkIUQ0MOu25cdwiO,spotify:track:6MqFViHkIUQ0MOu25cdwiO,https://api.spotify.com/v1/tracks/6MqFViHkIUQ0MOu25cdwiO,https://api.spotify.com/v1/audio-analysis/6MqFViHkIUQ0MOu25cdwiO,236000,4
0.817,0.666,5,-2.93,0,0.0926,0.0838,0.0,0.121,0.897,151.65,audio_features,1zZB8HNNHPWNrEt6mFLPQx,spotify:track:1zZB8HNNHPWNrEt6mFLPQx,https://api.spotify.com/v1/tracks/1zZB8HNNHPWNrEt6mFLPQx,https://api.spotify.com/v1/audio-analysis/1zZB8HNNHPWNrEt6mFLPQx,202520,4
0.899,0.894,7,-2.904,1,0.21,0.149,0.0,0.298,0.783,91.98,audio_features,5EqrgGHGKDpQWdJANGDOBm,spotify:track:5EqrgGHGKDpQWdJANGDOBm,https://api.spotify.com/v1/tracks/5EqrgGHGKDpQWdJANGDOBm,https://api.spotify.com/v1/audio-analysis/5EqrgGHGKDpQWdJANGDOBm,186613,4
0.709,0.695,7,-3.267,0,0.0575,0.0851,0.0,0.246,0.0395,144.387,audio_features,3JsBCGVsEjIlJ76J6giL6B,spotify:track:3JsBCGVsEjIlJ76J6giL6B,https://api.spotify.com/v1/tracks/3JsBCGVsEjIlJ76J6giL6B,https://api.spotify.com/v1/audio-analysis/3JsBCGVsEjIlJ76J6giL6B,254760,4
0.935,0.656,5,-9.513,0,0.401,0.0195,0.0,0.527,0.557,119.989,audio_features,2PEDTqoTTUefVpJfjlAGE4,spotify:track:2PEDTqoTTUefVpJfjlAGE4,https://api.spotify.com/v1/tracks/2PEDTqoTTUefVpJfjlAGE4,https://api.spotify.com/v1/audio-analysis/2PEDTqoTTUefVpJfjlAGE4,232133,4
0.846,0.94,5,-3.189,0,0.0647,0.119,0.0,0.322,0.88,119.999,audio_features,2d1ZXq3UxOrzGeDgueLNnv,spotify:track:2d1ZXq3UxOrzGeDgueLNnv,https://api.spotify.com/v1/tracks/2d1ZXq3UxOrzGeDgueLNnv,https://api.spotify.com/v1/audio-analysis/2d1ZXq3UxOrzGeDgueLNnv,278720,4
0.857,0.725,0,-2.952,1,0.18,0.372,0.0,0.614,0.896,75.004,audio_features,5Gyls8cPXiTqT3VPRi99VH,spotify:track:5Gyls8cPXiTqT3VPRi99VH,https://api.spotify.com/v1/tracks/5Gyls8cPXiTqT3VPRi99VH,https://api.spotify.com/v1/audio-analysis/5Gyls8cPXiTqT3VPRi99VH,208000,4
